pwm0,pwm1,encoder0,encoder1,img_error,Yaw_gyro,I6
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.119942,95.119942,190.239899,-190.239899,0.000000,0.000000,0.000000
-95.116676,95.116676,190.233398,-190.233398,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.120201,95.120201,190.240402,-190.240402,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.141403,95.141403,190.282806,-190.282806,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115929,95.115929,190.231903,-190.231903,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.119942,95.119942,190.239899,-190.239899,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.133652,95.133652,190.267303,-190.267303,0.000000,0.000000,0.000000
-95.119400,95.119400,190.238800,-190.238800,0.000000,0.000000,0.000000
-95.120201,95.120201,190.240402,-190.240402,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.119400,95.119400,190.238800,-190.238800,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.141403,95.141403,190.282806,-190.282806,0.000000,0.000000,0.000000
-95.119400,95.119400,190.238800,-190.238800,0.000000,0.000000,0.000000
-95.119942,95.119942,190.239899,-190.239899,0.000000,0.000000,0.000000
-95.129440,95.129440,190.258896,-190.258896,0.000000,0.000000,0.000000
-95.119171,95.119171,190.238297,-190.238297,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.119400,95.119400,190.238800,-190.238800,0.000000,0.000000,0.000000
-95.157837,95.157837,190.315704,-190.315704,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.119942,95.119942,190.239899,-190.239899,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.115707,95.115707,190.231400,-190.231400,0.000000,0.000000,0.000000
-95.131943,95.131943,190.263901,-190.263901,0.000000,0.000000,0.000000
-95.119293,95.119293,190.238602,-190.238602,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.119942,95.119942,190.239899,-190.239899,0.000000,0.000000,0.000000
-95.132942,95.132942,190.265900,-190.265900,0.000000,0.000000,0.000000
-95.112518,95.112518,190.225006,-190.225006,0.000000,0.000000,0.000000
